RouteNo,CollDay,DistrictID,Address,ContaminationType,RouteID,WeekNum,Area,Date
AR-1,Mon,206,10941  Cardamine Pl,D,1,2,East Valley,
AR-1,Mon,206,10941  Cardamine Pl,E,1,2,East Valley,
AR-1,Mon,206,11003  Tinker Av,E,1,2,East Valley,
AR-1,Mon,206,11016  Irma Av,D,1,2,East Valley,
AR-1,Mon,206,11016  Irma Av,E,1,2,East Valley,
AR-1,Mon,206,11016  Irma Av,Q,1,2,East Valley,
AR-1,Mon,206,11021  Irma Av,E,1,2,East Valley,
AR-1,Mon,206,11050  Plainview Av,D,1,2,East Valley,
AR-1,Mon,206,7701  Jayseel St,J,1,2,East Valley,
AR-1,Mon,206,7701  Jayseel St,N,1,2,East Valley,
AR-1,Mon,206,7735  Jayseel St,E,1,2,East Valley,
AR-1,Mon,206,7815  Wentworth St,E,1,2,East Valley,
AR-1,Mon,206,7817  Kyle St,J,1,2,East Valley,
AR-1,Mon,206,7824  Forsythe St,J,1,2,East Valley,
AR-1,Mon,206,7906  Jayseel St,D,1,2,East Valley,
AR-1,Mon,206,7928  Forsythe St,L,1,2,East Valley,
AR-1,Mon,206,8001  EllenBogen St,E,1,2,East Valley,
AR-1,Mon,206,8010  EllenBogen St,E,1,2,East Valley,
AR-1,Mon,206,8010  EllenBogen St,J,1,2,East Valley,
AR-1,Mon,206,8031  Le Berthon St,C,1,2,East Valley,
AR-1,Mon,206,8036  Greystone St,E,1,2,East Valley,
AR-1,Mon,206,8036  Greystone St,J,1,2,East Valley,
AR-1,Mon,206,8125  EllenBogen St,E,1,2,East Valley,
AR-1,Mon,206,10724  Nassau Av,D,1,3,East Valley,
AR-1,Mon,206,11479  Sierra Ranch View Rd,D,1,3,East Valley,
AR-1,Mon,206,7642  Wentworth St,J,1,3,East Valley,
AR-1,Mon,206,7715  Wentworth St,E,1,3,East Valley,
AR-1,Mon,206,7815  Wentworth St,E,1,3,East Valley,
AR-1,Mon,206,7928  Forsythe St,D,1,3,East Valley,
AR-1,Mon,206,7928  Forsythe St,Q,1,3,East Valley,
AR-1,Mon,206,8015  Grove St,J,1,3,East Valley,
AR-1,Mon,206,8015  Wentworth St,G,1,3,East Valley,
AR-1,Mon,206,8118  Brownstone St,C,1,3,East Valley,
AR-1,Mon,206,10816  Nassau Av,D,1,4,East Valley,
AR-1,Mon,206,10858  Mather Av,D,1,4,East Valley,
AR-1,Mon,206,10944  Plainview Av,E,1,4,East Valley,
AR-1,Mon,206,10954  Whitegate Av,E,1,4,East Valley,
AR-1,Mon,206,10954  Whitegate Av,Q,1,4,East Valley,
AR-1,Mon,206,11015  Cardamine Dr,C,1,4,East Valley,
AR-1,Mon,206,11080  Plainview Av,E,1,4,East Valley,
AR-1,Mon,206,11080  Plainview Av,Q,1,4,East Valley,
AR-1,Mon,206,11086  Plainview Av,E,1,4,East Valley,
AR-1,Mon,206,7642  Wentworth St,J,1,4,East Valley,
AR-1,Mon,206,7721  Grove St,E,1,4,East Valley,
AR-1,Mon,206,7815  Wentworth St,E,1,4,East Valley,
AR-1,Mon,206,7815  Wentworth St,Q,1,4,East Valley,
AR-1,Mon,206,7816  Jayseel St,D,1,4,East Valley,
AR-1,Mon,206,7816  Jayseel St,J,1,4,East Valley,
AR-1,Mon,206,7827  Wentworth St,N,1,4,East Valley,
AR-1,Mon,206,7844  Forsythe St,E,1,4,East Valley,
AR-1,Mon,206,7915  Kyle St,E,1,4,East Valley,
AR-1,Mon,206,8002  Ellenbogen St,D,1,4,East Valley,
AR-1,Mon,206,8036  Graystone St,J,1,4,East Valley,
AR-1,Mon,206,8061  Le Berthon St,Q,1,4,East Valley,
AR-1,Mon,206,8139  Grove St,D,1,4,East Valley,
AR-1,Mon,206,8139  Grove St,E,1,4,East Valley,
AR-1,Mon,206,10712  Rhodesia Av,E,1,5,East Valley,
AR-1,Mon,206,10816  Nassau Av,D,1,5,East Valley,
AR-1,Mon,206,10816  Nassau Av,R,1,5,East Valley,
AR-1,Mon,206,10960  Leolang Av,E,1,5,East Valley,
AR-1,Mon,206,10961  Christine Wy,E,1,5,East Valley,
AR-1,Mon,206,7621  Le Berthon St,G,1,5,East Valley,
AR-1,Mon,206,7621  Le Berthon St,J,1,5,East Valley,
AR-1,Mon,206,7637  Le Berthon St,L,1,5,East Valley,
AR-1,Mon,206,7731  Wentworth St,D,1,5,East Valley,
AR-1,Mon,206,7815  Wentworth St,E,1,5,East Valley,
AR-1,Mon,206,7901  Jayseel St,E,1,5,East Valley,
AR-1,Mon,206,7927  Kyle St,E,1,5,East Valley,
AR-1,Mon,206,7952  Wentworth St,D,1,5,East Valley,
AR-1,Mon,206,10751  Nassau Av,J,1,6,East Valley,
AR-1,Mon,206,10816  Nassau Av,D,1,6,East Valley,
AR-1,Mon,206,10853  Nassau Av,E,1,6,East Valley,
AR-1,Mon,206,10914  Woodward Av,E,1,6,East Valley,
AR-1,Mon,206,11005  Rhodesia Av,E,1,6,East Valley,
AR-1,Mon,206,11086  Plainview Av,E,1,6,East Valley,
AR-1,Mon,206,11487  Dellmont Dr,R,1,6,East Valley,
AR-1,Mon,206,7666  Le Berthon St,C,1,6,East Valley,
AR-1,Mon,206,7666  Le Berthon St,D,1,6,East Valley,
AR-1,Mon,206,7721  Grove St,D,1,6,East Valley,
AR-1,Mon,206,7722  Le Berthon St,D,1,6,East Valley,
AR-1,Mon,206,7737  Grove St,I,1,6,East Valley,
AR-1,Mon,206,7814  Owens St,D,1,6,East Valley,
AR-1,Mon,206,7815  Wentworth St,E,1,6,East Valley,
AR-1,Mon,206,7817  Kyle St,G,1,6,East Valley,
AR-1,Mon,206,7852  Owens St,E,1,6,East Valley,
AR-1,Mon,206,7906  Jayseel St,E,1,6,East Valley,
AR-1,Mon,206,7906  Jayseel St,J,1,6,East Valley,
AR-1,Mon,206,8001  Ellenbogen St,E,1,6,East Valley,
AR-1,Mon,206,8021  Wentworth St,A,1,6,East Valley,
AR-1,Mon,206,8139  Grove St,Q,1,6,East Valley,
AR-1,Mon,206,10711  Mt. Gleason Av,C,1,7,East Valley,
AR-1,Mon,206,10711  Mt. Gleason Av,E,1,7,East Valley,
AR-1,Mon,206,10713  Rhodesia Av,E,1,7,East Valley,
AR-1,Mon,206,10751  Nassau Av,J,1,7,East Valley,
AR-1,Mon,206,10827  Mather Av,I,1,7,East Valley,
AR-1,Mon,206,10835  Langmuir Av,E,1,7,East Valley,
AR-1,Mon,206,10844  Mather Av,N,1,7,East Valley,
AR-1,Mon,206,10844  Mt. Gleason Av,D,1,7,East Valley,
AR-1,Mon,206,11086  Plainview Av,E,1,7,East Valley,
AR-1,Mon,206,11121  Leolang Av,G,1,7,East Valley,
AR-1,Mon,206,11121  Leolang Av,J,1,7,East Valley,
AR-1,Mon,206,7469  Alpine Wy,G,1,7,East Valley,
AR-1,Mon,206,7469  Alpine Wy,J,1,7,East Valley,
AR-1,Mon,206,7517  Alpine Wy,E,1,7,East Valley,
AR-1,Mon,206,7815  Wentworth St,E,1,7,East Valley,
AR-1,Mon,206,7861  Forsythe St,E,1,7,East Valley,
AR-1,Mon,206,7939  Wentworth St,D,1,7,East Valley,
AR-1,Mon,206,8001  Wentworth St,J,1,7,East Valley,
AR-1,Mon,206,8010  Wentworth St,Q,1,7,East Valley,
AR-1,Mon,206,8014  Wentworth St,E,1,7,East Valley,
AR-1,Mon,206,8018  Wentworth St,N,1,7,East Valley,
AR-1,Mon,206,8052  Jayseel St,E,1,7,East Valley,
AR-1,Mon,206,8058  Kyle St,C,1,7,East Valley,
AR-1,Mon,206,8058  Kyle St,D,1,7,East Valley,
AR-1,Tue,206,10667  Valerio St,C,2,1,East Valley,
AR-1,Tue,206,10718  Strathern St,D,2,1,East Valley,
AR-1,Tue,206,10718  Wixom St,G,2,1,East Valley,
AR-1,Tue,206,10723  Stagg St,C,2,1,East Valley,
AR-1,Tue,206,10723  Stagg St,D,2,1,East Valley,
AR-1,Tue,206,10726  Keswick St,J,2,1,East Valley,
AR-1,Tue,206,10743  Arminta St,D,2,1,East Valley,
AR-1,Tue,206,10743  Arminta St,J,2,1,East Valley,
AR-1,Tue,206,10752  Wixom St,E,2,1,East Valley,
AR-1,Tue,206,10842  Saticoy St,E,2,1,East Valley,
AR-1,Tue,206,10844  Lull St,D,2,1,East Valley,
AR-1,Tue,206,10901  Lull St,D,2,1,East Valley,
AR-1,Tue,206,10932  Keswick St,D,2,1,East Valley,
AR-1,Tue,206,10936  Keswick St,G,2,1,East Valley,
AR-1,Tue,206,10942  Lull St,D,2,1,East Valley,
AR-1,Tue,206,11014  Cohasset St,D,2,1,East Valley,
AR-1,Tue,206,11035  Saticoy St,E,2,1,East Valley,
AR-1,Tue,206,11036  Valerio St,E,2,1,East Valley,
AR-1,Tue,206,11036  Valerio St,Q,2,1,East Valley,
AR-1,Tue,206,11037  Runnymede St,N,2,1,East Valley,
AR-1,Tue,206,11041  Leadwell St,E,2,1,East Valley,
AR-1,Tue,206,11126  Leadwell St,J,2,1,East Valley,
AR-1,Tue,206,11159  Cohasset St,C,2,1,East Valley,
AR-1,Tue,206,11159  Cohasset St,D,2,1,East Valley,
AR-1,Tue,206,7210  Cartwright Av,D,2,1,East Valley,
AR-1,Tue,206,7210  Cartwright Av,G,2,1,East Valley,
AR-1,Tue,206,7256  Vineland Av,G,2,1,East Valley,
AR-1,Tue,206,7302  Vineland Av,J,2,1,East Valley,
AR-1,Tue,206,7315  Cleon Av,D,2,1,East Valley,
AR-1,Tue,206,7315  Cleon Av,G,2,1,East Valley,
AR-1,Tue,206,7324  Cleon Av,E,2,1,East Valley,
AR-1,Tue,206,7334  Vineland Av,J,2,1,East Valley,
AR-1,Tue,206,7334  Vineland Av,Q,2,1,East Valley,
AR-1,Tue,206,7335  Cleon Av,D,2,1,East Valley,
AR-1,Tue,206,7335  Cleon Av,G,2,1,East Valley,
AR-1,Tue,206,7343  Claybourn Av,J,2,1,East Valley,
AR-1,Tue,206,7343  Claybourn Av,Q,2,1,East Valley,
AR-1,Tue,206,7348  Satsuma Av,C,2,1,East Valley,
AR-1,Tue,206,7348  Satsuma Av,D,2,1,East Valley,
AR-1,Tue,206,7410  Denny Av,E,2,1,East Valley,
AR-1,Tue,206,7410  Denny Av,J,2,1,East Valley,
AR-1,Tue,206,7413  Craner Av,D,2,1,East Valley,
AR-1,Tue,206,7413  Craner Av,J,2,1,East Valley,
AR-1,Tue,206,7426  Denny Av,E,2,1,East Valley,
AR-1,Tue,206,7426  Denny Av,J,2,1,East Valley,
AR-1,Tue,206,7437  Satsuma Av,D,2,1,East Valley,
AR-1,Tue,206,7453  Vineland Av,D,2,1,East Valley,
AR-1,Tue,206,7453  Vineland Av,J,2,1,East Valley,
AR-1,Tue,206,7502  Riverton Av,A,2,1,East Valley,
AR-1,Tue,206,7502  Riverton Av,D,2,1,East Valley,
AR-1,Tue,206,7503  Riverton Av,A,2,1,East Valley,
AR-1,Tue,206,7503  Riverton Av,D,2,1,East Valley,
AR-1,Tue,206,7504  Craner Av,D,2,1,East Valley,
AR-1,Tue,206,7504  Craner Av,J,2,1,East Valley,
AR-1,Tue,206,7507  Vineland Av,J,2,1,East Valley,
AR-1,Tue,206,7507  Vineland Av,Q,2,1,East Valley,
AR-1,Tue,206,7508  Satsuma Av,A,2,1,East Valley,
AR-1,Tue,206,7508  Satsuma Av,D,2,1,East Valley,
AR-1,Tue,206,7517  Claybourn Av,J,2,1,East Valley,
AR-1,Tue,206,7520  Cleon Av,D,2,1,East Valley,
AR-1,Tue,206,7520  Cleon Av,E,2,1,East Valley,
AR-1,Tue,206,7537  Vineland Av,I,2,1,East Valley,
AR-1,Tue,206,7537  Vineland Av,J,2,1,East Valley,
AR-1,Tue,206,7548  Cartwright Av,O,2,1,East Valley,
AR-1,Tue,206,7634  Vineland Av,Q,2,1,East Valley,
AR-1,Tue,206,7634 1/2  Vineland Av,E,2,1,East Valley,
AR-1,Tue,206,7701  Cleon Av,D,2,1,East Valley,
AR-1,Tue,206,7712  Cleon Av,Q,2,1,East Valley,
AR-1,Tue,206,7722  Cleon Av,E,2,1,East Valley,
AR-1,Tue,206,7837  Claybourn Av,J,2,1,East Valley,
AR-1,Tue,206,7837  Claybourn Av,L,2,1,East Valley,
AR-1,Tue,206,7911  Claybourn Av,J,2,1,East Valley,
AR-1,Tue,206,7921  Claybourn Av,E,2,1,East Valley,
AR-1,Tue,206,7921  Claybourn Av,J,2,1,East Valley,
AR-1,Tue,206,10653  Valerio St,Q,2,2,East Valley,
AR-1,Tue,206,10665  Valerio St,E,2,2,East Valley,
AR-1,Tue,206,10673  Sherman Wy,J,2,2,East Valley,
AR-1,Tue,206,10679  Sherman Pl,J,2,2,East Valley,
AR-1,Tue,206,10706  Sherman Pl,J,2,2,East Valley,
AR-1,Tue,206,10706  Wixom St,J,2,2,East Valley,
AR-1,Tue,206,10706  Wixom St,Q,2,2,East Valley,
AR-1,Tue,206,10712  Valerio St,E,2,2,East Valley,
AR-1,Tue,206,10715  Keswick St,J,2,2,East Valley,
AR-1,Tue,206,10718  Strathern St,J,2,2,East Valley,
AR-1,Tue,206,10722  Saticoy St,Q,2,2,East Valley,
AR-1,Tue,206,10736  Saticoy St,D,2,2,East Valley,
AR-1,Tue,206,10755  Lull St,J,2,2,East Valley,
AR-1,Tue,206,10803  Saticoy St,E,2,2,East Valley,
AR-1,Tue,206,10806  Cantlay St,E,2,2,East Valley,
AR-1,Tue,206,10806  Cantlay St,J,2,2,East Valley,
AR-1,Tue,206,10811  Cantlay St,E,2,2,East Valley,
AR-1,Tue,206,10811  Cantlay St,J,2,2,East Valley,
AR-1,Tue,206,10817  Lull St,J,2,2,East Valley,
AR-1,Tue,206,10823  Saticoy St,D,2,2,East Valley,
AR-1,Tue,206,10844  Lull St,D,2,2,East Valley,
AR-1,Tue,206,10923  Cantlay St,J,2,2,East Valley,
AR-1,Tue,206,10936  Keswick St,G,2,2,East Valley,
AR-1,Tue,206,10943  Saticoy St,K,2,2,East Valley,
AR-1,Tue,206,11025  Saticoy St,E,2,2,East Valley,
AR-1,Tue,206,11036  Valerio St,E,2,2,East Valley,
AR-1,Tue,206,11036  Valerio St,N,2,2,East Valley,
AR-1,Tue,206,11037  Runnymede St,N,2,2,East Valley,
AR-1,Tue,206,11101  Valerio St,J,2,2,East Valley,
AR-1,Tue,206,11102  Cohasset St,J,2,2,East Valley,
AR-1,Tue,206,11102  Valerio St,J,2,2,East Valley,
AR-1,Tue,206,11102  Valerio St,N,2,2,East Valley,
AR-1,Tue,206,11107  Cantlay St,E,2,2,East Valley,
AR-1,Tue,206,11110  Valerio St,C,2,2,East Valley,
AR-1,Tue,206,11139  Valerio St,D,2,2,East Valley,
AR-1,Tue,206,11155  Saticoy St,J,2,2,East Valley,
AR-1,Tue,206,11156  Valerio St,J,2,2,East Valley,
AR-1,Tue,206,7216  Cartwright Av,G,2,2,East Valley,
AR-1,Tue,206,7248  Vineland Av,E,2,2,East Valley,
AR-1,Tue,206,7300  Satsuma Av,N,2,2,East Valley,
AR-1,Tue,206,7302  Vineland Av,J,2,2,East Valley,
AR-1,Tue,206,7331  Cleon Av,E,2,2,East Valley,
AR-1,Tue,206,7335  Satsuma Av,J,2,2,East Valley,
AR-1,Tue,206,7343  Clybourn Av,J,2,2,East Valley,
AR-1,Tue,206,7358  Vineland Av,J,2,2,East Valley,
AR-1,Tue,206,7369  Cartwright Av,J,2,2,East Valley,
AR-1,Tue,206,7406  Riverton Av,Q,2,2,East Valley,
AR-1,Tue,206,7406  Vineland Av,C,2,2,East Valley,
AR-1,Tue,206,7413  Riverton Av,Q,2,2,East Valley,
AR-1,Tue,206,7421  Vineland Av,E,2,2,East Valley,
AR-1,Tue,206,7421  Vineland Av,I,2,2,East Valley,
AR-1,Tue,206,7426  Cleon Av,D,2,2,East Valley,
AR-1,Tue,206,7426  Cleon Av,J,2,2,East Valley,
AR-1,Tue,206,7437  Denny Av,Q,2,2,East Valley,
AR-1,Tue,206,7445  Clybourn Av,J,2,2,East Valley,
AR-1,Tue,206,7504  Craner Av,Q,2,2,East Valley,
AR-1,Tue,206,7528  Cartwright Av,J,2,2,East Valley,
AR-1,Tue,206,7532  Cartwright Av,I,2,2,East Valley,
AR-1,Tue,206,7532  Cartwright Av,Q,2,2,East Valley,
AR-1,Tue,206,7537  Vineland Av,J,2,2,East Valley,
AR-1,Tue,206,7548  Cartwright Av,D,2,2,East Valley,
AR-1,Tue,206,7548  Cartwright Av,J,2,2,East Valley,
AR-1,Tue,206,7634  Vineland Av,Q,2,2,East Valley,
AR-1,Tue,206,7727  Craner Av,J,2,2,East Valley,
AR-1,Tue,206,7727  Craner Av,N,2,2,East Valley,
AR-1,Tue,206,7728  Vineland Av,D,2,2,East Valley,
AR-1,Tue,206,7728  Vineland Av,Q,2,2,East Valley,
AR-1,Tue,206,7927  Tall Pine Ct,D,2,2,East Valley,
AR-1,Tue,206,7937  Clyboure Av,Q,2,2,East Valley,
AR-1,Tue,206,10653  Valerio St,Q,2,3,East Valley,
AR-1,Tue,206,10706  Sherman Pl,D,2,3,East Valley,
AR-1,Tue,206,10706  Sherman Pl,E,2,3,East Valley,
AR-1,Tue,206,10715  Keswick St,C,2,3,East Valley,
AR-1,Tue,206,10715  Keswick St,E,2,3,East Valley,
AR-1,Tue,206,10724  Arminta St,C,2,3,East Valley,
AR-1,Tue,206,10724  Arminta St,M,2,3,East Valley,
AR-1,Tue,206,10732  Cantlay St,L,2,3,East Valley,
AR-1,Tue,206,10745  Keswick St,C,2,3,East Valley,
AR-1,Tue,206,10753  Arminta St,Q,2,3,East Valley,
AR-1,Tue,206,10821  Saticoy St,D,2,3,East Valley,
AR-1,Tue,206,11025  Saticoy St,E,2,3,East Valley,
AR-1,Tue,206,11139  Valerio St,E,2,3,East Valley,
AR-1,Tue,206,11157  Wyandotte St,J,2,3,East Valley,
AR-1,Tue,206,11159  Cohasset St,D,2,3,East Valley,
AR-1,Tue,206,7331  Satsuma Av,J,2,3,East Valley,
AR-1,Tue,206,7348  Satsuma Av,J,2,3,East Valley,
AR-1,Tue,206,7348  Satsuma Av,Q,2,3,East Valley,
AR-1,Tue,206,7358  Craner Av,D,2,3,East Valley,
AR-1,Tue,206,7359  Craner Av,J,2,3,East Valley,
AR-1,Tue,206,7406  Vineland Av,E,2,3,East Valley,
AR-1,Tue,206,7426  Denny Av,C,2,3,East Valley,
AR-1,Tue,206,7426  Vineland Av,E,2,3,East Valley,
AR-1,Tue,206,7426  Vineland Av,J,2,3,East Valley,
AR-1,Tue,206,7431  Clybourn Av,E,2,3,East Valley,
AR-1,Tue,206,7437  Denny Av,D,2,3,East Valley,
AR-1,Tue,206,7437  Denny Av,E,2,3,East Valley,
AR-1,Tue,206,7501  Cleon Av,E,2,3,East Valley,
AR-1,Tue,206,7502  Riverton Av,D,2,3,East Valley,
AR-1,Tue,206,7515  Denny Av,D,2,3,East Valley,
AR-1,Tue,206,7517  Clybourn Av,Q,2,3,East Valley,
AR-1,Tue,206,7537  Vineland Av,D,2,3,East Valley,
AR-1,Tue,206,7712  Cleon Av,C,2,3,East Valley,
AR-1,Tue,206,7712  Cleon Av,R,2,3,East Valley,
AR-1,Tue,206,7721  Cleon Av,E,2,3,East Valley,
AR-1,Tue,206,7728  Vineland Av,J,2,3,East Valley,
AR-1,Tue,206,7733  Craner Av,E,2,3,East Valley,
AR-1,Tue,206,7807  Riverton Av,C,2,3,East Valley,
AR-1,Tue,206,7844  Riverton Av,J,2,3,East Valley,
AR-1,Tue,206,7931  Clybourn Av,Q,2,3,East Valley,
AR-1,Tue,206,10653  Valerio St,E,2,4,East Valley,
AR-1,Tue,206,10653  Valerio St,Q,2,4,East Valley,
AR-1,Tue,206,10660  Cohasset St,D,2,4,East Valley,
AR-1,Tue,206,10660  Cohasset St,J,2,4,East Valley,
AR-1,Tue,206,10706  Sherman Pl,D,2,4,East Valley,
AR-1,Tue,206,10706  Sherman Pl,J,2,4,East Valley,
AR-1,Tue,206,10718  Strathern St,C,2,4,East Valley,
AR-1,Tue,206,10718  Strathern St,J,2,4,East Valley,
AR-1,Tue,206,10724  Arminta St,C,2,4,East Valley,
AR-1,Tue,206,10752  Wixom St,J,2,4,East Valley,
AR-1,Tue,206,10844  Lull St,D,2,4,East Valley,
AR-1,Tue,206,10900  Lull St,E,2,4,East Valley,
AR-1,Tue,206,10900  Lull St,J,2,4,East Valley,
AR-1,Tue,206,10936  Keswick St,E,2,4,East Valley,
AR-1,Tue,206,10936  Keswick St,J,2,4,East Valley,
AR-1,Tue,206,11045  Leadwell St,C,2,4,East Valley,
AR-1,Tue,206,11045  Saticoy St,H,2,4,East Valley,
AR-1,Tue,206,11052  Saticoy St,E,2,4,East Valley,
AR-1,Tue,206,11102  Leadwell St,E,2,4,East Valley,
AR-1,Tue,206,11102  Leadwell St,Q,2,4,East Valley,
AR-1,Tue,206,11110  Leadwell St,E,2,4,East Valley,
AR-1,Tue,206,11144  Cohasset St,D,2,4,East Valley,
AR-1,Tue,206,11156  Cantlay St,E,2,4,East Valley,
AR-1,Tue,206,7230  Case Av,J,2,4,East Valley,
AR-1,Tue,206,7241  Ensign Av,D,2,4,East Valley,
AR-1,Tue,206,7248  Vineland Av,D,2,4,East Valley,
AR-1,Tue,206,7300  Cleon Av,J,2,4,East Valley,
AR-1,Tue,206,7324  Craner Av,D,2,4,East Valley,
AR-1,Tue,206,7338  Cleon Av,C,2,4,East Valley,
AR-1,Tue,206,7348  Satsuma Av,Q,2,4,East Valley,
AR-1,Tue,206,7349  Satsuma Av,D,2,4,East Valley,
AR-1,Tue,206,7355  Riverton Av,J,2,4,East Valley,
AR-1,Tue,206,7401  Satsuma Av,J,2,4,East Valley,
AR-1,Tue,206,7426  Denny Av,D,2,4,East Valley,
AR-1,Tue,206,7426  Denny Av,J,2,4,East Valley,
AR-1,Tue,206,7426  Denny Av,Q,2,4,East Valley,
AR-1,Tue,206,7427  Craner Av,E,2,4,East Valley,
AR-1,Tue,206,7430  Cleon Av,D,2,4,East Valley,
AR-1,Tue,206,7431  Cleon Av,J,2,4,East Valley,
AR-1,Tue,206,7459  Vineland Av,D,2,4,East Valley,
AR-1,Tue,206,7463  Cleon Av,Q,2,4,East Valley,
AR-1,Tue,206,7501  Cleon Av,E,2,4,East Valley,
AR-1,Tue,206,7508  Satsuma Av,R,2,4,East Valley,
AR-1,Tue,206,7537  Vineland Av,D,2,4,East Valley,
AR-1,Tue,206,7537  Vineland Av,J,2,4,East Valley,
AR-1,Tue,206,7744  Craner Av,E,2,4,East Valley,
AR-1,Tue,206,7744  Craner Av,J,2,4,East Valley,
AR-1,Tue,206,7835  Clybourn Av,E,2,4,East Valley,
AR-1,Tue,206,10653  Valerio St,Q,2,5,East Valley,
AR-1,Tue,206,10704  Saticoy St,I,2,5,East Valley,
AR-1,Tue,206,10704  Saticoy St,J,2,5,East Valley,
AR-1,Tue,206,10706  Sherman Pl,J,2,5,East Valley,
AR-1,Tue,206,10733  Lull St,E,2,5,East Valley,
AR-1,Tue,206,10736  Saticoy St,D,2,5,East Valley,
AR-1,Tue,206,10752  Wixom St,D,2,5,East Valley,
AR-1,Tue,206,10819  Cantlay St,E,2,5,East Valley,
AR-1,Tue,206,10848  Saticoy St,E,2,5,East Valley,
AR-1,Tue,206,10926  Keswick St,Q,2,5,East Valley,
AR-1,Tue,206,11033  Cohasset St,E,2,5,East Valley,
AR-1,Tue,206,11036  Saticoy St,E,2,5,East Valley,
AR-1,Tue,206,11046  Valerio St,J,2,5,East Valley,
AR-1,Tue,206,11047  Runnymede St,E,2,5,East Valley,
AR-1,Tue,206,11106  Runnymede St,J,2,5,East Valley,
AR-1,Tue,206,11126  Valerio St,Q,2,5,East Valley,
AR-1,Tue,206,11136  Leadwell St,E,2,5,East Valley,
AR-1,Tue,206,11145  Runnymede St,C,2,5,East Valley,
AR-1,Tue,206,11148  Valerio St,Q,2,5,East Valley,
AR-1,Tue,206,11151  Leadwell St,Q,2,5,East Valley,
AR-1,Tue,206,7254  Vineland Av,E,2,5,East Valley,
AR-1,Tue,206,7310  Riverton Av,E,2,5,East Valley,
